TotalValueToCoral	TotalValueToAlgae	ValueToCoralPlayer	ValueToAlgaePlayer	sheet	card_count	base_card_filename	jpg	full_card_filename	@background	Fishing_Value	@fishnet	Title	ScientificName	@Image	@type_icon	@old_type_icon	Rarity	Deck	Set	Type	Taxon_Type	@Recruit1	@Recruit2	@Recruit3	EventTitle	EventText	EventTitle2	EventText2	EventTitle3	EventText3	Abilty1Notes	Ability1_asterisk	Ability1	@Ability1_effect_icon1	@Ability1_effect_icon2	@Ability1_effect_icon3	Ability2_asterisk	Ability2	Ability2_text	Ability3_asterisk	Ability3	Ability3_text	Growth_plus	Growth	Size	Resistance	Photo Credit	Icon Credit	Notes	DietNotes	ModelSpecies	Source	Size_cm	log2_size	@overlay
0	6	0	2	3	3	card	.jpg	card.jpg	card_border_11_Algae.ai	 		Forked Sea Tumbleweed	Dictyota	dictyota.jpg	macroalgae-icon-white.ai	macroalgae-icon-white.ai	Common	Algae	Basic	Brown Algae	Class Phaeophyceae	island.png									(Grows without eating)	*	Phototroph					Fragmentation:	"when this dies, draw an algae card"				+	1	2			Game Icons.net					4	2	
0	4.5	0	1.5	3	3	card2	.jpg	card2.jpg	card_border_11_Algae.ai	 		Sargassum Seaweed	Sargassum natans	sargassum_natans.jpg	macroalgae-icon-white.ai	macroalgae-icon-white.ai	Uncommon	Algae	Basic	Brown Algae	Class Phaeophyceae	island.png									(Grows without eating)	*	Phototroph					Microbe-mediated competition:	corals can't settle nearby				+	3	4		Art:  James St. John 	Game Icons.net			Sargassum natans			#NUM!	
0	6	0	2	2	3	card3	.jpg	card3.jpg	card_border_11_Algae.ai	 		Watercress Algae	Halimeda opuntia	halimeda.jpg	macroalgae-icon-white.ai	macroalgae-icon-white.ai	Common	Algae	Basic	Green Algae	Division Chlorophyta	island.png									(Grows without eating)	*	Phototroph					Potent Allelotoxins:	"after this grows, deal its biomass in damage to all nearby coral"				+	1	3		"Art: Kathy Morrow, Global Coral Microbiome Project"	Game Icons.net				http://pubs.usgs.gov/sir/2007/5101/sir2007-5101_chapter08.pdf	10	3	
0	6	0	2	2	3	card3	.jpg	card3.jpg	card_border_11_Algae_Shield.ai	 		Crustose Coralline Algae	CCA	CCA.JPG	macroalgae-icon-white.ai	macroalgae-icon-white.ai	Common	Algae	Basic	Red Algae	Class Rhodophyta	island.png									(Grows without eating)	*	Phototroph					Easily displaced:	"If a different algae is played nearby, remove this."		Facilitator:	settling coral nearby doesn't cost an action	+	1	2	3	"Art: Peter South Wood via Wikimedia Commons, CC-SA 3.0 Unported "	Game Icons.net				http://pubs.usgs.gov/sir/2007/5101/sir2007-5101_chapter08.pdf	10	3	
6	0	2	0	2	3	card4	.jpg	card4.jpg	card_border_11_Universal_Coral.ai	 		Staghorn Coral	Acropora cervicornis	Competitive_Acropora.jpg	acropora_icon_simpler.ai		Uncommon	Coral	Basic	Coral 	Family Acroporidae	island.png									(Eat 1 of the top 3 Microbe cards)	*	Planktivore					Spawner:	draw 1 Coral card when the 'Coral Spawning' event is played		Shelter: 	Nearby fish gain 2 extra defense	+	2	6		"Art: Ryan McMinds, Global Coral Microbiome Project"	Game Icons.net				Darling 2012	259	8	
7.5	0	2.5	0	1	3	card5	.jpg	card5.jpg	card_border_11_Universal_Coral_Shield.ai	 		Mustard Hill Coral	Porites astreoides	porites_astreoides.jpg	acropora_icon_simpler.ai		Uncommon	Coral	Basic	Coral  	Family Poritidae	island.png									(Eat 1 of the top 3 Microbe cards)	*	Planktivore					Large larvae:	start with 1 extra Biomass.		Brooder:	Settling matching corals nearby doesn't cost an  action	+	1	5	1	"Art: Ryan McMinds, Global Coral Microbiome Project"	Game Icons.net				Darling 2013	106	7	
6	0	2	0	1	3	card6	.jpg	card6.jpg	card_border_11_Universal_Coral_Shield.ai	 		Grooved Brain Coral	Diploria labyrinthiformis	diploria_labyrinthiformis.jpg	acropora_icon_simpler.ai		Uncommon	Coral	Basic	Coral  	Family Mussidae	island.png									(Eat 1 of the top 3 Microbe cards)	*	Planktivore					Fecund Spawner:	draw 2 Coral cards when the 'Coral Spawning' event is played				+	1	5	2	"Art: Joe Pollock, Global Coral Microbiome Project"	Game Icons.net				Darling 2014	138	7	
0	6	0	3	6	2	card7	.jpg		card_border_11_Universal_Event.ai	 		Ocean Acidification		ocean_acidification.png	hurricane_icon.ai		Uncommon	Event	Basic	Event		thermometer-hot.png	thermometer-hot.png		Reduced calcification:	"Ignore defense values for corals, mollusks, and arthropods "		Stays in play off the reef.																			Art: U.S. EPA via Wikipedia Commons. Data: Feely Oceanography 2009.	Game Icons.net							
0	6	0	3	6	2	card7	.jpg	card7.jpg	card_border_11_Universal_Event.ai	 		Mass Coral Bleaching		coral_bleaching.jpg	hurricane_icon.ai		Uncommon	Event	Basic	Event		thermometer-hot.png	thermometer-hot.png		Free Radicals:	Damage all corals (1) per Global Warming counter.  	Symbiont Expulsion:	Destroy all Symbiodinium.	Draw:	Draw an Event card.																	Art: NOAA National Ocean Service Center	Game Icons.net							
0	6	0	3	12	2	card8	.jpg	card8.jpg	card_border_11_Universal_Event.ai	 		Nutrient Pollution		nutrients-icon.ai	hurricane_icon.ai		Uncommon	Event	Basic	Event - Policy		village.png					Eutrophication:	"At the end of your turn, one phototroph grows per village on the island. "		This stays in play off the reef.																	Illustration: Jesse Zaneveld	Game Icons.net							
