# Just OTU degree counts
Degree	OTU Count
1	920
2	541
3	345
4	224
5	192
6	166
7	125
8	121
9	104
10	85
11	74
12	86
13	76
14	63
15	63
16	52
17	63
18	43
19	46
20	44
21	45
22	39
23	37
24	26
25	40
26	25
27	25
28	29
29	24
30	23
31	26
32	22
33	20
34	22
35	21
36	21
37	17
38	9
39	13
40	13
41	18
42	15
43	15
44	16
45	17
46	15
47	18
48	14
49	13
50	12
51	5
52	16
53	9
54	10
55	10
56	9
57	7
58	6
59	12
60	5
61	8
62	12
63	7
64	7
65	9
66	11
67	10
68	6
69	5
70	8
71	2
72	4
73	12
74	6
75	6
76	6
77	5
78	4
79	4
80	7
81	6
82	3
83	3
84	2
85	4
86	4
87	3
88	6
89	4
90	4
91	2
92	4
93	5
94	7
95	6
96	3
97	4
98	2
99	1
101	2
102	5
103	5
104	4
105	2
106	1
107	2
108	2
110	7
111	3
112	2
113	3
114	4
115	2
116	3
118	4
119	1
120	1
121	1
123	1
124	1
126	2
127	1
129	1
130	1
131	2
134	4
136	2
137	1
138	1
139	1
140	1
141	1
143	1
147	1
149	1
150	1
151	1
155	1
156	1
157	1
161	1
162	1
164	1
165	1
170	2
174	2
179	1
181	1
182	1
183	1
186	1
187	1
191	1
203	1
217	1
218	1
219	1
233	1
