# Just Sample degree counts
Degree	Sample Count
0	11
113	1
147	1
155	1
166	1
173	1
182	1
184	2
189	3
190	1
194	1
197	1
198	2
202	1
203	1
206	1
208	1
210	3
211	1
214	1
215	2
216	2
218	1
221	3
222	1
223	1
224	1
225	2
227	4
231	1
232	1
233	1
234	2
236	1
238	1
239	3
240	3
241	3
243	2
244	3
245	2
246	1
247	2
248	5
249	4
252	2
254	2
255	1
256	3
257	1
258	2
259	4
261	2
262	3
263	5
264	3
265	1
266	1
268	1
269	4
270	1
272	5
273	1
274	4
275	4
276	4
277	2
278	2
279	2
280	3
281	4
282	4
283	3
284	5
285	3
286	2
287	2
288	1
289	3
290	1
291	3
292	1
293	2
294	1
295	2
297	1
298	2
300	7
301	4
302	4
303	2
304	2
305	2
306	2
307	1
308	6
311	2
312	4
313	2
314	2
315	1
316	1
317	2
319	2
320	3
321	2
322	2
323	4
324	2
326	2
327	1
328	1
329	2
330	1
331	3
333	2
334	1
335	1
336	2
338	1
339	1
343	1
350	1
353	1
360	2
361	1
362	1
365	1
370	1
371	1
373	1
377	1
405	1
