# Sample and OTU degree counts
Degree	Both Count 
0	11
1	920
2	541
3	345
4	224
5	192
6	166
7	125
8	121
9	104
10	85
11	74
12	86
13	76
14	63
15	63
16	52
17	63
18	43
19	46
20	44
21	45
22	39
23	37
24	26
25	40
26	25
27	25
28	29
29	24
30	23
31	26
32	22
33	20
34	22
35	21
36	21
37	17
38	9
39	13
40	13
41	18
42	15
43	15
44	16
45	17
46	15
47	18
48	14
49	13
50	12
51	5
52	16
53	9
54	10
55	10
56	9
57	7
58	6
59	12
60	5
61	8
62	12
63	7
64	7
65	9
66	11
67	10
68	6
69	5
70	8
71	2
72	4
73	12
74	6
75	6
76	6
77	5
78	4
79	4
80	7
81	6
82	3
83	3
84	2
85	4
86	4
87	3
88	6
89	4
90	4
91	2
92	4
93	5
94	7
95	6
96	3
97	4
98	2
99	1
101	2
102	5
103	5
104	4
105	2
106	1
107	2
108	2
110	7
111	3
112	2
113	4
114	4
115	2
116	3
118	4
119	1
120	1
121	1
123	1
124	1
126	2
127	1
129	1
130	1
131	2
134	4
136	2
137	1
138	1
139	1
140	1
141	1
143	1
147	2
149	1
150	1
151	1
155	2
156	1
157	1
161	1
162	1
164	1
165	1
166	1
170	2
173	1
174	2
179	1
181	1
182	2
183	1
184	2
186	1
187	1
189	3
190	1
191	1
194	1
197	1
198	2
202	1
203	2
206	1
208	1
210	3
211	1
214	1
215	2
216	2
217	1
218	2
219	1
221	3
222	1
223	1
224	1
225	2
227	4
231	1
232	1
233	2
234	2
236	1
238	1
239	3
240	3
241	3
243	2
244	3
245	2
246	1
247	2
248	5
249	4
252	2
254	2
255	1
256	3
257	1
258	2
259	4
261	2
262	3
263	5
264	3
265	1
266	1
268	1
269	4
270	1
272	5
273	1
274	4
275	4
276	4
277	2
278	2
279	2
280	3
281	4
282	4
283	3
284	5
285	3
286	2
287	2
288	1
289	3
290	1
291	3
292	1
293	2
294	1
295	2
297	1
298	2
300	7
301	4
302	4
303	2
304	2
305	2
306	2
307	1
308	6
311	2
312	4
313	2
314	2
315	1
316	1
317	2
319	2
320	3
321	2
322	2
323	4
324	2
326	2
327	1
328	1
329	2
330	1
331	3
333	2
334	1
335	1
336	2
338	1
339	1
343	1
350	1
353	1
360	2
361	1
362	1
365	1
370	1
371	1
373	1
377	1
405	1
