"node_disp_name","degree","obesitycat"
"77.TS1","288","Lean"
"77.TS1.2","264","Lean"
"77.TS109","264","Lean"
"77.TS109.2","283","Lean"
"77.TS110","259","Lean"
"77.TS110.2","203","Lean"
"77.TS111","320","Lean"
"77.TS111.2","300","Lean"
"77.TS124","280","Lean"
"77.TS124.2","206","Lean"
"77.TS127","316","Lean"
"77.TS127.2","361","Lean"
"77.TS128","248","Lean"
"77.TS128.2","319","Lean"
"77.TS129","302","Lean"
"77.TS129.2","227","Lean"
"77.TS13","323","Lean"
"77.TS13.2","308","Lean"
"77.TS14","330","Lean"
"77.TS154.2","244","Lean"
"77.TS155","210","Lean"
"77.TS155.2","249","Lean"
"77.TS16","266","Lean"
"77.TS163","300","Lean"
"77.TS163.2","278","Lean"
"77.TS164","227","Lean"
"77.TS164.2","239","Lean"
"77.TS165","254","Lean"
"77.TS165.2","221","Lean"
"77.TS180","218","Lean"
"77.TS184","252","Lean"
"77.TS185","321","Lean"
"77.TS185.2","284","Lean"
"77.TS193","274","Lean"
"77.TS193.2","314","Lean"
"77.TS194","261","Lean"
"77.TS194.2","263","Lean"
"77.TS195","256","Lean"
"77.TS195.2","263","Lean"
"77.TS2","283","Lean"
"77.TS2.2","263","Lean"
"77.TS22","302","Lean"
"77.TS23","240","Lean"
"77.TS25","282","Lean"
"77.TS25.2","272","Lean"
"77.TS26","247","Lean"
"77.TS26.2","290","Lean"
"77.TS30.2","248","Lean"
"77.TS31","286","Lean"
"77.TS31.2","275","Lean"
"77.TS32","273","Lean"
"77.TS32.2","295","Lean"
"77.TS4","214","Lean"
"77.TS4.2","215","Lean"
"77.TS5","291","Lean"
"77.TS5.2","241","Lean"
"77.TS7","326","Lean"
"77.TS7.2","284","Lean"
"77.TS8","329","Lean"
