# Just OTU degree counts
Degree	OTU Count
0	102
1	898
2	563
3	330
4	222
5	187
6	168
7	145
8	104
9	102
10	91
11	86
12	72
13	74
14	64
15	57
16	49
17	61
18	52
19	48
20	43
21	39
22	25
23	44
24	27
25	34
26	29
27	26
28	25
29	28
30	18
31	23
32	21
33	27
34	12
35	16
36	12
37	17
38	16
39	19
40	21
41	14
42	12
43	16
44	15
45	17
46	12
47	17
48	9
49	7
50	9
51	15
52	11
53	14
54	11
55	12
56	7
57	6
58	7
59	9
60	13
61	7
62	5
63	4
64	8
65	6
66	7
67	6
68	10
69	10
70	4
71	5
72	6
73	6
74	6
75	3
76	2
77	2
78	4
79	5
80	2
81	6
82	8
83	6
84	6
85	4
86	2
87	4
88	5
89	5
90	1
91	3
92	1
93	4
94	3
95	3
96	4
97	3
98	3
100	5
101	2
102	2
103	3
104	6
105	3
106	1
107	3
108	4
111	1
113	1
114	3
116	1
117	1
119	3
120	2
121	2
124	1
125	1
126	2
127	1
129	2
133	1
134	1
137	1
139	1
141	2
145	2
146	1
149	1
150	2
154	2
158	1
163	1
164	1
165	1
169	1
173	1
174	1
180	1
186	1
196	1
200	1
201	1
211	1
