# Just Sample degree counts
Degree	Sample Count
113	1
147	1
166	1
173	1
182	1
184	2
189	3
190	1
194	1
197	1
198	2
202	1
203	1
206	1
208	1
210	3
211	1
214	1
215	2
216	2
218	1
221	3
222	1
223	1
224	1
225	2
227	4
232	1
233	1
234	2
236	1
238	1
239	2
240	2
241	3
243	2
244	3
245	2
246	1
247	2
248	5
249	4
252	1
254	2
255	1
256	2
257	1
258	1
259	3
261	1
262	3
263	5
264	3
265	1
266	1
268	1
269	3
270	1
272	4
273	1
274	4
275	4
276	3
277	1
278	1
279	2
280	3
281	4
282	3
283	3
284	4
285	3
286	2
287	2
288	1
289	3
290	1
291	3
292	1
293	2
294	1
295	2
297	1
298	1
300	7
301	4
302	4
303	2
304	1
305	2
306	1
307	1
308	6
311	2
312	3
313	2
314	1
315	1
316	1
317	2
319	2
320	3
321	2
322	2
323	4
324	2
326	2
327	1
329	2
330	1
331	3
333	2
334	1
335	1
336	2
338	1
339	1
343	1
350	1
353	1
360	2
361	1
362	1
365	1
370	1
371	1
377	1
