# Sample and OTU degree counts
Degree	Both Count 
0	102
1	898
2	563
3	330
4	222
5	187
6	168
7	145
8	104
9	102
10	91
11	86
12	72
13	74
14	64
15	57
16	49
17	61
18	52
19	48
20	43
21	39
22	25
23	44
24	27
25	34
26	29
27	26
28	25
29	28
30	18
31	23
32	21
33	27
34	12
35	16
36	12
37	17
38	16
39	19
40	21
41	14
42	12
43	16
44	15
45	17
46	12
47	17
48	9
49	7
50	9
51	15
52	11
53	14
54	11
55	12
56	7
57	6
58	7
59	9
60	13
61	7
62	5
63	4
64	8
65	6
66	7
67	6
68	10
69	10
70	4
71	5
72	6
73	6
74	6
75	3
76	2
77	2
78	4
79	5
80	2
81	6
82	8
83	6
84	6
85	4
86	2
87	4
88	5
89	5
90	1
91	3
92	1
93	4
94	3
95	3
96	4
97	3
98	3
100	5
101	2
102	2
103	3
104	6
105	3
106	1
107	3
108	4
111	1
113	2
114	3
116	1
117	1
119	3
120	2
121	2
124	1
125	1
126	2
127	1
129	2
133	1
134	1
137	1
139	1
141	2
145	2
146	1
147	1
149	1
150	2
154	2
158	1
163	1
164	1
165	1
166	1
169	1
173	2
174	1
180	1
182	1
184	2
186	1
189	3
190	1
194	1
196	1
197	1
198	2
200	1
201	1
202	1
203	1
206	1
208	1
210	3
211	2
214	1
215	2
216	2
218	1
221	3
222	1
223	1
224	1
225	2
227	4
232	1
233	1
234	2
236	1
238	1
239	2
240	2
241	3
243	2
244	3
245	2
246	1
247	2
248	5
249	4
252	1
254	2
255	1
256	2
257	1
258	1
259	3
261	1
262	3
263	5
264	3
265	1
266	1
268	1
269	3
270	1
272	4
273	1
274	4
275	4
276	3
277	1
278	1
279	2
280	3
281	4
282	3
283	3
284	4
285	3
286	2
287	2
288	1
289	3
290	1
291	3
292	1
293	2
294	1
295	2
297	1
298	1
300	7
301	4
302	4
303	2
304	1
305	2
306	1
307	1
308	6
311	2
312	3
313	2
314	1
315	1
316	1
317	2
319	2
320	3
321	2
322	2
323	4
324	2
326	2
327	1
329	2
330	1
331	3
333	2
334	1
335	1
336	2
338	1
339	1
343	1
350	1
353	1
360	2
361	1
362	1
365	1
370	1
371	1
377	1
